2438,2548,0,2453,2561,7562
8774,414,0,398,414,1226
9419,178,0,178,225,581
9290,208,0,219,283,710
9220,223,0,239,318,780
9009,275,0,296,420,991
8852,312,0,332,504,1148
8654,355,0,376,615,1346
8488,412,0,404,696,1512
8298,474,0,445,783,1702
8173,532,0,451,844,1827
7971,596,0,483,950,2029
7819,638,0,520,1023,2181
7680,679,0,554,1087,2320
7488,716,0,591,1205,2512
7326,760,0,614,1300,2674
7170,807,0,642,1381,2830
7054,845,0,648,1453,2946
6892,878,0,692,1538,3108
6759,903,0,724,1614,3241
6638,935,0,737,1690,3362
6519,960,0,766,1755,3481
6422,985,0,767,1826,3578
6322,1022,0,772,1884,3678
6215,1059,0,801,1925,3785
6065,1081,0,833,2021,3935
6005,1114,0,833,2048,3995
5912,1131,0,841,2116,4088
5806,1162,0,861,2171,4194
5746,1183,0,860,2211,4254
5667,1198,0,864,2271,4333
5556,1243,0,891,2310,4444
5513,1257,0,891,2339,4487
5466,1291,0,881,2362,4534
5357,1339,0,884,2420,4643
5370,1314,0,896,2420,4630
5287,1341,0,906,2466,4713
5252,1370,0,877,2501,4748
5194,1383,0,896,2527,4806
5108,1396,0,932,2564,4892
5067,1407,0,937,2589,4933
5016,1417,0,939,2628,4984
4977,1419,0,963,2641,5023
4944,1429,0,954,2673,5056
4855,1456,0,975,2714,5145
4842,1463,0,963,2732,5158
4812,1468,0,955,2765,5188
4765,1475,0,968,2792,5235
4723,1486,0,986,2805,5277
4689,1490,0,987,2834,5311
4640,1493,0,995,2872,5360
4645,1509,0,997,2849,5355
4586,1538,0,1019,2857,5414
4587,1527,0,1027,2859,5413
4585,1554,0,1023,2838,5415
4519,1576,0,1036,2869,5481
4515,1588,0,1046,2851,5485
4475,1598,0,1057,2870,5525
4490,1615,0,1041,2854,5510
4440,1652,0,1063,2845,5560
4449,1645,0,1075,2831,5551
4450,1657,0,1072,2821,5550
4408,1679,0,1101,2812,5592
4425,1708,0,1086,2781,5575
4431,1726,0,1094,2749,5569
4412,1763,0,1117,2708,5588
4392,1762,0,1136,2710,5608
4410,1785,0,1135,2670,5590
4443,1793,0,1157,2607,5557
4407,1855,0,1153,2585,5593
4447,1853,0,1141,2559,5553
4391,1913,0,1173,2523,5609
4375,1936,0,1181,2508,5625
4379,1967,0,1207,2447,5621
4395,1969,0,1214,2422,5605
4362,1982,0,1226,2430,5638
4382,2017,0,1235,2366,5618
4419,2028,0,1225,2328,5581
4444,2049,0,1225,2282,5556
4375,2102,0,1260,2263,5625
4368,2127,0,1271,2234,5632
4374,2160,0,1272,2194,5626
4382,2208,0,1289,2121,5618
4343,2245,0,1303,2109,5657
4362,2288,0,1299,2051,5638
4368,2296,0,1320,2016,5632
4390,2286,0,1327,1997,5610
4355,2317,0,1351,1977,5645
4376,2343,0,1363,1918,5624
4384,2365,0,1386,1865,5616
4368,2388,0,1400,1844,5632
4376,2380,0,1422,1822,5624
4392,2394,0,1422,1792,5608
4347,2424,0,1440,1789,5653
4332,2405,0,1467,1796,5668
4355,2413,0,1451,1781,5645
4359,2417,0,1472,1752,5641
4355,2414,0,1515,1716,5645
4386,2411,0,1514,1689,5614
4383,2430,0,1509,1678,5617
4316,2429,0,1595,1660,5684
4337,2411,0,1605,1647,5663
4359,2392,0,1630,1619,5641
4369,2399,0,1646,1586,5631
4370,2402,0,1670,1558,5630
4347,2406,0,1710,1537,5653
4339,2412,0,1728,1521,5661
4341,2393,0,1773,1493,5659
4342,2386,0,1817,1455,5658
4356,2371,0,1832,1441,5644
4296,2383,0,1882,1439,5704
4347,2343,0,1909,1401,5653
4363,2356,0,1911,1370,5637
4336,2344,0,1963,1357,5664
4363,2332,0,1983,1322,5637
4318,2337,0,2028,1317,5682
4322,2349,0,2038,1291,5678
4307,2343,0,2070,1280,5693
4348,2337,0,2070,1245,5652
4317,2326,0,2088,1269,5683
4292,2345,0,2083,1280,5708
4349,2307,0,2102,1242,5651
4284,2317,0,2147,1252,5716
4310,2295,0,2175,1220,5690
4324,2284,0,2171,1221,5676
4335,2278,0,2198,1189,5665
4333,2272,0,2213,1182,5667
4337,2259,0,2201,1203,5663
4316,2280,0,2202,1202,5684
4315,2243,0,2217,1225,5685
4291,2237,0,2248,1224,5709
4301,2211,0,2270,1218,5699
4314,2190,0,2291,1205,5686
4300,2166,0,2300,1234,5700
4340,2142,0,2287,1231,5660
4290,2135,0,2309,1266,5710
4268,2120,0,2305,1307,5732
4328,2054,0,2297,1321,5672
4273,2052,0,2336,1339,5727
4240,2030,0,2376,1354,5760
4259,1995,0,2362,1384,5741
4290,1974,0,2368,1368,5710
4283,1946,0,2392,1379,5717
4310,1925,0,2356,1409,5690
